,Country/Region,Lat,Long,confirmed,recovered,death
31,Thailand,15.0,101.0,42,28,1
32,Japan,36.0,138.0,256,32,6
33,South Korea,36.0,128.0,3736,30,17
34,Taiwan,23.7,121.0,40,9,1
35,US,47.6062,-122.3321,9,1,1
36,US,41.8781,-87.6298,3,2,0
37,US,33.4255,-111.94,1,1,0
38,Macau,22.1667,113.55,10,8,0
39,Hong Kong,22.3,114.2,96,36,2
40,Singapore,1.2833,103.8333,106,72,0
41,Vietnam,16.0,108.0,16,16,0
42,France,47.0,2.0,130,12,2
43,Nepal,28.1667,84.25,1,1,0
44,Malaysia,2.5,112.5,29,18,0
45,Canada,43.6532,-79.3832,14,2,0
46,Canada,49.2827,-123.1207,8,3,0
47,US,33.7879,-117.8531,1,0,0
48,US,34.0522,-118.2437,1,0,0
49,Australia,-33.8688,151.2093,6,4,0
50,Australia,-37.8136,144.9631,7,4,0
51,Australia,-28.0167,153.4,9,1,0
52,Cambodia,11.55,104.9167,1,1,0
53,Sri Lanka,7.0,81.0,1,1,0
54,Germany,51.0,9.0,130,16,0
55,Finland,64.0,26.0,6,1,0
56,United Arab Emirates,24.0,54.0,21,5,0
57,Philippines,13.0,122.0,3,1,1
58,India,21.0,78.0,3,3,0
59,Canada,42.9849,-81.2453,1,1,0
60,Italy,43.0,12.0,1694,83,34
61,UK,55.0,-3.0,36,8,0
62,Russia,60.0,90.0,2,2,0
63,Sweden,63.0,16.0,14,0,0
64,US,37.3541,-121.9552,3,1,0
65,Spain,40.0,-4.0,84,2,0
66,Australia,-34.9285,138.6007,3,2,0
67,US,42.3601,-71.0589,1,1,0
68,US,36.5761,-120.9876,2,0,0
69,Belgium,50.8333,4.0,2,1,0
70,US,43.0731,-89.4012,1,0,0
71,Others,35.4437,139.638,705,10,6
72,US,32.7157,-117.1611,2,1,0
73,US,29.4241,-98.4936,1,0,0
74,Egypt,26.0,30.0,2,1,0
75,Iran,32.0,53.0,978,175,54
76,US,41.2545,-95.9758,0,0,0
77,US,38.2721,-121.9399,0,0,0
78,Australia,35.4437,139.638,0,0,0
79,US,29.3829,-98.6134,0,0,0
80,Lebanon,33.8547,35.8623,10,0,0
81,US,40.745,-123.8695,1,0,0
82,US,38.4747,-121.3542,2,0,0
83,Iraq,33.0,44.0,19,0,0
84,US,35.4437,139.638,44,0,0
85,Oman,21.0,57.0,6,1,0
86,Afghanistan,33.0,65.0,1,0,0
87,Bahrain,26.0275,50.55,47,0,0
88,Kuwait,29.5,47.75,45,0,0
89,Algeria,28.0339,1.6596,1,0,0
90,Croatia,45.1,15.2,7,0,0
91,Switzerland,46.8182,8.2275,27,0,0
92,Austria,47.5162,14.5501,14,0,0
93,Israel,31.0,35.0,10,1,0
94,Pakistan,30.3753,69.3451,4,0,0
95,Brazil,-14.235,-51.9253,2,0,0
96,Georgia,42.3154,43.3569,3,0,0
97,Greece,39.0742,21.8243,7,0,0
98,North Macedonia,41.6086,21.7453,1,0,0
99,Norway,60.472,8.4689,19,0,0
100,Romania,45.9432,24.9668,3,0,0
101,Denmark,56.2639,9.5018,4,0,0
102,Estonia,58.5953,25.0136,1,0,0
103,Netherlands,52.1326,5.2913,10,0,0
104,San Marino,43.9424,12.4578,1,0,0
105,Belarus,53.7098,27.9534,1,0,0
106,Canada,45.5017,-73.5673,1,0,0
107,Iceland,64.9631,-19.0208,3,0,0
108,Lithuania,55.1694,23.8813,1,0,0
109,Mexico,23.6345,-102.5528,5,0,0
110,New Zealand,-40.9006,174.886,1,0,0
111,Nigeria,9.082,8.6753,1,0,0
112,Australia,-31.9505,115.8605,2,0,1
113,Ireland,53.1424,-7.6921,1,0,0
114,Luxembourg,49.8153,6.1296,1,0,0
115,Monaco,43.7333,7.4167,1,0,0
116,Qatar,25.3548,51.1839,3,0,0
117,US,45.5051,-122.675,1,0,0
118,US,48.033,-121.8339,2,0,0
119,Ecuador,-1.8312,-78.1834,6,0,0
120,Azerbaijan,40.1431,47.5769,3,0,0
121,Czech Republic,49.8175,15.472999999999999,3,0,0
122,Armenia,40.0691,45.0382,1,0,0
123,Dominican Republic,18.7357,-70.1627,1,0,0
124,US,41.824,-71.4128,1,0,0
94,Mainland China,30.9756,112.2707,79826,42118,2870
